Character, number of unique words
"kids, 4
romanian official, 64
a cowboy, 19
pueblo team, 2
vet, 57
william, 60
jogger, 14
news reporter, 42
father, 207
black official, 29
chief david, 125
president wulff, 111
iraqi, 10
boy in the red shirt, 50
man in crowd, 3
foley, 21
blonde 2, 7
angel 9, 6
chet, 82
girl 2's father, 22
angel 4, 12
angel 5, 26
angel 6, 5
boombox, 62
angel 1, 3
angel 2, 3
angel 3, 42
president calderón, 55
congregation, 44
flora, 11
"lola, 5
homeowner, 90
coon, 702
henrietta, 378
p-train, 40
dio, 55
officer bob, 3
neo 2, 17
head concierge, 9
carrot ass, 30
gary condit, 44
bikers, 7
damien, 150
mormon 6, 20
dr. shay, 70
mephesto actor, 13
mormon 1, 49
mormon 2, 52
bishop 2, 3
bishop 1, 1
network president, 136
injured man, 10
tactical officer, 15
thumper, 148
disney exec 2, 15
older boy, 85
disney exec 1, 16
john warzog, 74
colin, 7
"butters, 5
snn anchor, 114
gary coleman, 4
trent, 143
assemblyman 4, 16
assemblyman 1, 13
beavery beaver, 25
assemblyman 3, 7
assemblyman 2, 24
expert 8, 2
elton, 177
postman, 39
beelzeboot, 38
jesse jackson, 67
mr. hat 2, 7
mr. hammerhead, 2
danica patrick, 20
supporter, 3
shopper 12, 4
shopper 13, 7
shopper 10, 5
shopper 11, 3
a few congressmen, 5
bob dole, 24
jakovasaur girl, 2
male guest, 6
butters' profile, 8
steve forbes, 13
director 2, 104
director 3, 97
caller 1, 12
director 1, 54
mr. peters, 87
director 7, 17
director 4, 22
director 5, 35
clerk, 492
muslim, 1
taps, 1
travolta, 47
man in middle, 16
blonde 3, 1
"van gelder, 22
"gary sr., 3
alone, 15
cartamn, 6
teacher, 197
romper stomper, 190
boy, 185
expert 3, 17
china, 22
red wings coach, 3
nelly, 135
mrs. garrison, 1077
police chief stevens, 36
older girl, 1
women, 11
buddy 2, 19
buddy 1, 7
bob, 158
boys 1/2, 7
caller 3, 29
king, 66
chief elder, 201
winner, 2
mcguire, 7
chinese commentator, 110
tom davis, 57
agent 3, 41
lesbian 4, 13
dr. janus, 301
damned soul, 3
farrah fawcett, 7
mr. harrison, 8
jim irsay, 37
candice, 43
tan jovi, 19
shelley, 34
japanese pilot, 1
saddam/chris, 7
everybody, 34
iron maiden, 4
vamps, 2
clean garrison, 77
swat officer 5, 3
human wendy, 30
dude, 46
a diner, 7
mencia, 63
theme, 4
blond member, 17
paparazzo 11, 6
paparazzo 10, 16
paparazzo 12, 12
tape, 30
police commissioner, 9
angels, 4
prosecutor, 78
barkeep, 106
some adults, 2
commissioner, 1
paparazzo, 13
conductor, 71
fat girl, 28
general disarray, 23
cashier, 174
jennifer lopez, 198
odd boy, 41
casey, 143
member 6, 8
zazul, 41
mr. testaburger, 111
man on crutches, 3
big blonde, 8
teen mc, 49
member 5, 23
sir 1, 11
stan/kyle/ kenny, 1
lumberjack, 18
cat, 9
police captain, 43
mousey, 48
the women, 1
elderly woman 7, 6
soldier 7, 2
meredith vieira, 18
elderly man, 102
nurse goodly, 16
soldier 3, 60
soldier 2, 62
soldier 1, 45
mrs.mccormick, 36
pirate voice, 33
performer, 2
female director, 16
chip, 1
heidi's mom, 12
fan wearing a blue star, 5
agent, 317
millionaires, 2
guy in audience, 2
muno, 16
a ring tone, 4
reveler 1, 1
stockbroker, 63
dennis, 21
reveler 4, 1
reveler 5, 1
magician, 16
coach connors, 146
zytar, 41
farmer 2, 18
tiger woods, 15
det. yates, 117
a protester, 2
cardinal, 28
veteran guard, 125
rich kid, 23
other mothers, 6
otter 1, 30
agent 9, 10
otter 3, 4
otter 2, 4
junichi, 86
spielberg, 77
news anchor 2, 58
man 17, 7
snooki, 9
fillmore and friend, 1
stuart, 573
"mr. mackey, 3
steven spielberg, 191
emperor akihito, 150
bear, 1
news announcer, 9
standing patron, 13
date, 4
dahmer, 56
man, 679
donald t. brown, 13
side judge, 7
girl with brown coat, 3
johnson, 76
mr. feegan, 99
patron with hat, 13
some boys, 1
fisherman, 21
train conductor, 32
bill gates, 18
blue team, 2
crowd outside, 19
security guard 1, 6
background singers, 6
joe strummer, 34
schwartz, 34
oc member, 4
lab tech 1, 39
