Character, number of unique words
sparky, 3
chef and principle victoria, 1
sheriff, 13
jay, 8
someone in the crowd, 1
madman, 17
mr. glughgogawk, 1
police officer, 43
betsy, 157
native paddler in vest, 3
satan, 795
jai, 24
employee, 23
member 7, 38
member 4, 1
pi pi, 206
member 2, 54
member 3, 46
member 1, 119
jacqueline, 27
female director 2, 8
brunet boy, 17
bonds, 7
barnaby jones, 20
coworker, 3
black bouncer, 7
mrs. feegan, 49
brunette 3, 6
joint, 35
chief stevens, 46
wise man, 45
occupant, 7
dental floss, 26
snetzl, 120
future butters, 13
mj hologram, 45
miss stevenson, 187
mr. black, 19
mr. takiyama, 128
other sixth graders, 2
mr. brown, 78
"satan, 2
angel 11, 10
officer barbrady, 603
felipe, 10
the kids, 8
teen boy 4, 1
teen boy 5, 12
teen boy 6, 66
little vamp, 12
teen boy 1, 11
paolo captain, 39
teen boy 3, 20
fire chief, 7
teen boy 8, 13
beefcake, 66
mayor mcdaniels, 553
travis, 237
computer, 48
phil collins, 171
gang members, 29
border officer 1, 22
border officer 2, 146
border officer 3, 9
border officer 4, 22
border officer 5, 3
hbc reporter, 29
male psychic 1, 37
male psychic 2, 25
ticket teller, 18
posse, 21
ralph, 22
evan stone, 3
redneck 18, 1
mexicans, 7
marsha, 26
copilot, 39
frank sinatra, 26
fc team, 4
sixth grader, 22
laborer 2, 30
mr. pirrip, 23
"crew, 2
janet, 332
oragne cat, 2
elderly priest, 50
suitcase, 7
blonde peta member, 10
manuel, 3
man 27, 4
joe, 374
formena, 5
kyle broflovski, 36
girl 2, 45
girl 3, 25
hobo, 24
mr. varcas, 47
marty, 84
tv crew director, 15
mrs. sanders, 5
marklar dispatcher, 7
laborer 5, 32
gingers, 41
sawitsky, 66
darryl, 11
alien man, 109
pat the hammer, 18
steve bischiotti, 11
a pilot, 4
jim, 18
nambla member, 13
mr. garrett, 94
cd, 11
redneck 14, 5
leeroy, 21
security agent, 106
the avs, 3
"heidi, 3
apple tech, 9
damanta unit 5, 1
all three men, 1
michael jackson, 29
willy, 27
mailman, 84
blond trekker, 25
spirit 2, 31
elderly passenger, 12
nellie, 64
canyoner, 26
yao, 43
sparrow prince, 79
both men, 1
nambla leader, 218
kurt russell, 91
mr. nelson, 205
domino, 3
trinity, 15
suicide 3, 1
other nambla men, 5
mike, 227
kurt's hologram, 37
police officer 1, 2
vince, 53
hall monitor, 16
al, 48
bb founder, 124
steve black, 62
ual 3, 23
denver player, 8
dream estella, 9
soccer captain, 8
strummer, 17
mr. waters, 19
ohrlich, 83
british cardinal, 50
large woman, 40
reporter 6, 3
raisins girls, 4
captain paul watson, 4
vj, 26
kyles, 1
kevin jonas, 1
a member, 3
chef (recording), 5
aarp member, 27
partner, 131
petey/boys, 1
walter cronkite, 56
bill's hologram, 17
somali 1, 4
announcer 2, 74
squirt leader, 223
somali 2, 7
goths, 1
pirate ghost 2, 1
bob thomas, 90
draco, 6
mimsy, 249
foxy, 41
mr. foley, 151
dr. doom, 7
mr. sanders, 87
"stephen, 9
umpire 2, 31
redneck 11, 22
redneck 10, 12
redneck 13, 62
canadian paparazzo, 31
redneck 15, 5
elderly voice, 4
redneck 17, 4
redneck 16, 1
kids in class, 2
fire captain, 103
phl, 13
brad, 3
mr. brooks, 32
middle dwarf, 13
kyle., 3
other priests, 3
mr. williams, 3
student, 96
figure 1, 26
pink hare, 44
new kid, 1
townsman 12, 1
janet reno, 108
judge julie, 130
peter griffin, 20
ashley, 9
sheila broflovski, 33
yates, 597
fox 11 anchor, 32
perseus, 65
gunsmith, 57
a counselor, 9
reporter 2, 230
banker, 8
osric, 10
spectator, 3
the phantom, 6
steve nelson, 14
howard stern, 100
band member 1, 37
band member 2, 22
band member 3, 5
atf agent, 54
david carradine, 15
rick james, 21
chief aide, 95
detective 3, 33
first mate, 12
old man, 17
steve jobs, 217
detective 4, 12
oprah winfrey, 46
mr. hart, 25
man with afro, 2
army doctor, 6
bp man 2, 5
paul, 68
male staffer, 50
mrs. streible, 1
pink monster, 20
susan92's profile, 9
les claypool, 35
bp man 1, 9
sgt. yates, 370
patricia, 12
a page, 3
clyde, 776
male activist, 4
townsman 9, 7
citizen, 12
sally struthers, 94
townsman 6, 27
townsman 5, 11
townsman 4, 9
townsman 3, 9
townsman 2, 29
townsman 1, 23
a crewman, 2
o'reilly, 28
"kyle, 30
mr garrison, 4
researcher 2, 14
protesters, 22
researcher 1, 117
nick jabs, 16
whispers, 8
russell crowe (off-screen), 5
mr. kincade, 228
hankey elf, 18
older brother, 4
patron 5, 3
el presidente, 151
kevin harris, 115
lincoln, 1
sarah mclachlan, 65
jonas brothers, 131
pirate choir, 6
clown, 8
miley cyrus, 27
matt stone, 17
the ladies, 1
martin, 43
"black vamp, 5
refugees, 3
page, 37
fc batter 1, 2
programmer 4, 3
programmer 5, 8
programmer 1, 2
programmer 2, 15
programmer 3, 6
petey, 207
the other members, 1
trucker, 54
blood 3, 5
peter, 322
paul allen, 20
sgt. masters, 16
elder carn, 6
blood 2, 8
director 10, 6
other students, 3
henchman, 4
steamy nicks, 4
hollis, 146
chief joe, 71
luke skywalker, 96
prerecorded voice, 5
lady member, 133
tsa agent 2, 40
dr. roberts, 159
dr. phillips, 151
leader, 206
evil cartman, 162
worker 3, 29
worker 1, 155
worker 4, 30
tco reporter, 23
mitt, 46
lars ulrich, 20
lieutenant, 6
host, 347
miner 2, 23
gandalf, 42
grrm, 227
uaa member 2, 1
uaa member 1, 28
medicine man, 20
cipac, 8
profile 4, 1
profile 5, 8
profile 2, 9
lambtron, 14
profile 1, 9
mrs. melman, 7
greeley batter, 1
shvek, 163
the kkk, 4
fleetwood mac, 16
midget, 36
executives, 1
joanie, 2
bebe's mom, 82
quint 4, 4
quint 5, 12
quint 2, 49
ranger mcfriendly, 154
christina naylon, 43
quint 1, 45
weird man, 21
evgames clerk, 12
stan, 5114
guard, 190
officer 10, 13
peta man, 3
female, 35
puffy the bear, 11
bronco 1, 6
top girl, 5
teabag, 192
bronco 2, 6
bar patron 1, 26
male voice, 6
brother anderson, 10
van gelder, 49
recruiter, 27
cinderella, 24
carlos mencia, 78
proprietor, 7
peters, 6
alec baldwin, 108
resident bishop, 32
madame foreperson, 23
hula dancers, 9
sky-fi reporter, 54
all celebrities, 1
lift operator, 10
mr. triscotti, 32
some townsfolk, 3
crewman 1, 34
crewman 2, 24
crewman 3, 27
crewman 4, 10
crewman 5, 7
crewman 6, 19
bum, 27
assemblywoman 1, 24
the tv, 4
michael douglas, 1
mrs. cartman, 21
balding man, 163
mr. yelman, 36
angel 12, 6
angel 10, 4
john cena, 24
official, 145
singer (and backup singers), 78
guests in line, 1
aslan, 230
protestor #2, 8
dick dastardly, 4
betsy macintosh, 54
father maxi, 249
jimbo kern, 5
lab tech 3, 8
jenny, 118
maury, 257
patron 10, 2
rabbity, 44
pig, 12
nerd #1, 185
ual 2, 13
ual 1, 20
nerd #2, 133
roulette dealer, 4
a sign-holder, 3
rosie o'donnell, 88
pip, 569
dawson, 243
ticket 2974 holder, 4
don king, 42
eric, 13
bum 1, 3
head agent, 7
bum 3, 5
bum 2, 3
bum 5, 1
bum 4, 1
emmanuel lewis, 40
wyoming coach, 4
bum 9, 7
bum 8, 1
burly man, 21
instructors, 4
niles, 302
justin bieber, 10
romanian protesters, 4
redneck 28, 5
cowlick vampire, 10
annoucer, 18
gram'ma, 8
neely, 18
kindergarten boy, 6
dr. tonton, 37
matt, 137
real mackey, 16
cruise attendant, 14
stab, 17
richardson, 36
road warrior queef, 21
m.c, 10
redneck 26, 4
mr. hakeem, 68
cliff, 70
ghost, 18
mr. casher, 23
sphinx, 164
assemblywoman 2, 41
lead agent collins, 22
the ghost of human kindness, 135
officer 9, 5
indiglo girls singer, 8
doctor 1, 21
yo gabba gabba, 1
doctor 2, 67
local announcer 1, 19
redneck 29, 4
heidi, 114
melvin 1, 6
alan jackson, 70
black officer, 11
redneck 27, 3
redneck 20, 8
redneck 21, 3
redneck 22, 9
benedict xvi, 21
